         220         209
  -0.654861E+01   0.755749E+01  -0.150903E+02
  -0.959493E+01   0.281732E+01  -0.150903E+02
  -0.959493E+01  -0.281733E+01  -0.150903E+02
  -0.654861E+01  -0.755750E+01  -0.150903E+02
  -0.142315E+01  -0.989822E+01  -0.150903E+02
   0.415415E+01  -0.909632E+01  -0.150903E+02
   0.841254E+01  -0.540640E+01  -0.150903E+02
   0.100000E+02   0.000000E+00  -0.167081E+02
   0.841253E+01   0.540641E+01  -0.167081E+02
   0.415415E+01   0.909632E+01  -0.167081E+02
  -0.142315E+01   0.989821E+01  -0.167081E+02
  -0.654861E+01   0.755749E+01  -0.167081E+02
  -0.959493E+01   0.281732E+01  -0.167081E+02
  -0.959493E+01  -0.281733E+01  -0.167081E+02
  -0.654861E+01  -0.755750E+01  -0.167081E+02
  -0.142315E+01  -0.989822E+01  -0.167081E+02
   0.415415E+01  -0.909632E+01  -0.167081E+02
   0.841254E+01  -0.540640E+01  -0.167081E+02
   0.100000E+02   0.000000E+00  -0.183484E+02
   0.841253E+01   0.540641E+01  -0.183484E+02
   0.415415E+01   0.909632E+01  -0.183484E+02
  -0.142315E+01   0.989821E+01  -0.183484E+02
  -0.654861E+01   0.755749E+01  -0.183484E+02
  -0.959493E+01   0.281732E+01  -0.183484E+02
  -0.959493E+01  -0.281733E+01  -0.183484E+02
  -0.654861E+01  -0.755750E+01  -0.183484E+02
  -0.142315E+01  -0.989822E+01  -0.183484E+02
   0.415415E+01  -0.909632E+01  -0.183484E+02
   0.841254E+01  -0.540640E+01  -0.183484E+02
   0.100000E+02   0.000000E+00  -0.200000E+02
   0.841253E+01   0.540641E+01  -0.200000E+02
   0.415415E+01   0.909632E+01  -0.200000E+02
  -0.142315E+01   0.989821E+01  -0.200000E+02
  -0.654861E+01   0.755749E+01  -0.200000E+02
  -0.959493E+01   0.281732E+01  -0.200000E+02
  -0.959493E+01  -0.281733E+01  -0.200000E+02
  -0.654861E+01  -0.755750E+01  -0.200000E+02
  -0.142315E+01  -0.989822E+01  -0.200000E+02
   0.415415E+01  -0.909632E+01  -0.200000E+02
   0.841254E+01  -0.540640E+01  -0.200000E+02
       1      12      13       2
       2      13      14       3
       3      14      15       4
       4      15      16       5
       5      16      17       6
       6      17      18       7
       7      18      19       8
       8      19      20       9
       9      20      21      10
      10      21      22      11
      11      22      12       1
      12      23      24      13
      13      24      25      14
      14      25      26      15
      15      26      27      16
      16      27      28      17
      17      28      29      18
      18      29      30      19
      19      30      31      20
      20      31      32      21
      21      32      33      22
      22      33      23      12
      23      34      35      24
      24      35      36      25
      25      36      37      26
      26      37      38      27
      27      38      39      28
      28      39      40      29
      29      40      41      30
      30      41      42      31
      31      42      43      32
      32      43      44      33
      33      44      34      23
      34      45      46      35
      35      46      47      36
      36      47      48      37
      37      48      49      38
      38      49      50      39
      39      50      51      40
      40      51      52      41
      41      52      53      42
      42      53      54      43
      43      54      55      44
      44      55      45      34
      45      56      57      46
      46      57      58      47
      47      58      59      48
      48      59      60      49
      49      60      61      50
      50      61      62      51
      51      62      63      52
      52      63      64      53
      53      64      65      54
      54      65      66      55
      55      66      56      45
      56      67      68      57
      57      68      69      58
      58      69      70      59
      59      70      71      60
      60      71      72      61
      61      72      73      62
      62      73      74      63
      63      74      75      64
      64      75      76      65
      65      76      77      66
      66      77      67      56
      67      78      79      68
      68      79      80      69
      69      80      81      70
      70      81      82      71
      71      82      83      72
      72      83      84      73
      73      84      85      74
      74      85      86      75
      75      86      87      76
      76      87      88      77
      77      88      78      67
      78      89      90      79
      79      90      91      80
      80      91      92      81
      81      92      93      82
      82      93      94      83
      83      94      95      84
      84      95      96      85
      85      96      97      86
      86      97      98      87
      87      98      99      88
      88      99      89      78
      89     100     101      90
      90     101     102      91
      91     102     103      92
      92     103     104      93
      93     104     105      94
      94     105     106      95
      95     106     107      96
      96     107     108      97
      97     108     109      98
      98     109     110      99
      99     110     100      89
     100     111     112     101
     101     112     113     102
     102     113     114     103
     103     114     115     104
     104     115     116     105
     105     116     117     106
     106     117     118     107
     107     118     119     108
     108     119     120     109
     109     120     121     110
     110     121     111     100
     111     122     123     112
     112     123     124     113
     113     124     125     114
     114     125     126     115
     115     126     127     116
     116     127     128     117
     117     128     129     118
     118     129     130     119
     119     130     131     120
     120     131     132     121
     121     132     122     111
     122     133     134     123
     123     134     135     124
     124     135     136     125
     125     136     137     126
     126     137     138     127
     127     138     139     128
     128     139     140     129
     129     140     141     130
     130     141     142     131
     131     142     143     132
     132     143     133     122
     133     144     145     134
     134     145     146     135
     135     146     147     136
     136     147     148     137
     137     148     149     138
     138     149     150     139
     139     150     151     140
     140     151     152     141
     141     152     153     142
     142     153     154     143
     143     154     144     133
     144     155     156     145
     145     156     157     146
     146     157     158     147
     147     158     159     148
     148     159     160     149
     149     160     161     150
     150     161     162     151
     151     162     163     152
     152     163     164     153
     153     164     165     154
     154     165     155     144
     155     166     167     156
     156     167     168     157
     157     168     169     158
     158     169     170     159
     159     170     171     160
     160     171     172     161
     161     172     173     162
     162     173     174     163
     163     174     175     164
     164     175     176     165
     165     176     166     155
     166     177     178     167
     167     178     179     168
     168     179     180     169
     169     180     181     170
     170     181     182     171
     171     182     183     172
     172     183     184     173
     173     184     185     174
     174     185     186     175
     175     186     187     176
     176     187     177     166
     177     188     189     178
     178     189     190     179
     179     190     191     180
     180     191     192     181
     181     192     193     182
     182     193     194     183
     183     194     195     184
     184     195     196     185
     185     196     197     186
     186     197     198     187
     187     198     188     177
     188     199     200     189
     189     200     201     190
     190     201     202     191
     191     202     203     192
     192     203     204     193
     193     204     205     194
     194     205     206     195
     195     206     207     196
     196     207     208     197
     197     208     209     198
     198     209     199     188
     199     210     211     200
     200     211     212     201
     201     212     213     202
     202     213     214     203
     203     214     215     204
     204     215     216     205
     205     216     217     206
     206     217     218     207
     207     218     219     208
     208     219     220     209
     209     220     210     199
