 VARIABLES="X" "Y" "Z" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=    220 , E =     209 , F=FEPOINT,ET=QUADRILATERAL
 -0.6548610E+01 -0.7557500E+01 -0.6119940E+00  0.2423946E-01  0.2035429E+01 -0.1086157E-01  0.2166974E-01
 -0.1423150E+01 -0.9898220E+01 -0.6119940E+00  0.3333660E-01  0.1929047E+01 -0.1168903E-01  0.3122012E-01
  0.4154150E+01 -0.9096320E+01 -0.6119940E+00  0.3018048E-01  0.1957738E+01 -0.1138885E-01  0.2794916E-01
  0.8412540E+01 -0.5406400E+01 -0.6119940E+00  0.1645528E-01  0.2241851E+01 -0.1023209E-01  0.1288722E-01
  0.1000000E+02  0.0000000E+00 -0.1083660E+01  0.1296221E-01 -0.2356585E+01 -0.9169242E-02 -0.9162083E-02
  0.8412530E+01  0.5406410E+01 -0.1083660E+01  0.3235843E-01 -0.1850535E+01 -0.8934313E-02 -0.3110057E-01
  0.4154150E+01  0.9096320E+01 -0.1083660E+01  0.4697587E-01 -0.1768480E+01 -0.9226002E-02 -0.4606098E-01
 -0.1423150E+01  0.9898210E+01 -0.1083660E+01  0.5018627E-01 -0.1757951E+01 -0.9337869E-02 -0.4930989E-01
 -0.6548610E+01  0.7557490E+01 -0.1083660E+01  0.4084141E-01 -0.1794486E+01 -0.9059801E-02 -0.3982387E-01
 -0.9594930E+01  0.2817320E+01 -0.1083660E+01  0.2245595E-01 -0.1980670E+01 -0.8948559E-02 -0.2059595E-01
 -0.9594930E+01 -0.2817330E+01 -0.1083660E+01  0.9868837E-02  0.2909311E+01 -0.9603796E-02  0.2271795E-02
 -0.6548610E+01 -0.7557500E+01 -0.1083660E+01  0.2406749E-01  0.2036962E+01 -0.1081748E-01  0.2149945E-01
 -0.1423150E+01 -0.9898220E+01 -0.1083660E+01  0.3309954E-01  0.1930145E+01 -0.1163993E-01  0.3098534E-01
  0.4154150E+01 -0.9096320E+01 -0.1083660E+01  0.2996569E-01  0.1958956E+01 -0.1134158E-01  0.2773646E-01
  0.8412540E+01 -0.5406400E+01 -0.1083660E+01  0.1634331E-01  0.2244137E+01 -0.1019170E-01  0.1277627E-01
  0.1000000E+02  0.0000000E+00 -0.1684530E+01  0.1290013E-01 -0.2356960E+01 -0.9128748E-02 -0.9114784E-02
  0.8412530E+01  0.5406410E+01 -0.1684530E+01  0.3207780E-01 -0.1851720E+01 -0.8893348E-02 -0.3082035E-01
  0.4154150E+01  0.9096320E+01 -0.1684530E+01  0.4653628E-01 -0.1769360E+01 -0.9179810E-02 -0.4562188E-01
 -0.1423150E+01  0.9898210E+01 -0.1684530E+01  0.4971211E-01 -0.1758778E+01 -0.9290022E-02 -0.4883635E-01
 -0.6548610E+01  0.7557490E+01 -0.1684530E+01  0.4046819E-01 -0.1795481E+01 -0.9016270E-02 -0.3945100E-01
 -0.9594930E+01  0.2817320E+01 -0.1684530E+01  0.2228546E-01 -0.1982054E+01 -0.8908882E-02 -0.2042728E-01
 -0.9594930E+01 -0.2817330E+01 -0.1684530E+01  0.9809528E-02  0.2915639E+01 -0.9560178E-02  0.2197686E-02
 -0.6548610E+01 -0.7557500E+01 -0.1684530E+01  0.2379474E-01  0.2040186E+01 -0.1076337E-01  0.2122120E-01
 -0.1423150E+01 -0.9898220E+01 -0.1684530E+01  0.3272314E-01  0.1932453E+01 -0.1157823E-01  0.3060635E-01
  0.4154150E+01 -0.9096320E+01 -0.1684530E+01  0.2962467E-01  0.1961515E+01 -0.1128265E-01  0.2739202E-01
